country,year,data_source,pollutant,sector_code_emep_un,parent_sector_code,emission_shares
Austria,1970,EMEP_21,nox,1.A.2.a,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.a,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.a,1.A.2,NA
Austria,1970,EMEP_21,nox,1.A.2.b,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.b,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.b,1.A.2,NA
Austria,1970,EMEP_21,nox,1.A.2.c,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.c,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.c,1.A.2,NA
Austria,1970,EMEP_21,nox,1.A.2.d,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.d,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.d,1.A.2,NA
Austria,1970,EMEP_21,nox,1.A.2.e,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.e,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.e,1.A.2,NA
Austria,1970,EMEP_21,nox,1.A.2.f,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.f,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.f,1.A.2,NA
Austria,1970,EMEP_21,nox,1.A.2.g.vii,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.g.vii,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.g.vii,1.A.2,NA
Austria,1970,EMEP_21,nox,1.A.2.g.viii,1.A.2,NA
Austria,1970,EMEP_21,so2,1.A.2.g.viii,1.A.2,NA
Austria,1970,EMEP_21,pm25,1.A.2.g.viii,1.A.2,NA
Austria,1971,EMEP_21,nox,1.A.2.a,1.A.2,NA
Austria,1971,EMEP_21,so2,1.A.2.a,1.A.2,NA
Austria,1971,EMEP_21,pm25,1.A.2.a,1.A.2,NA
Austria,1971,EMEP_21,nox,1.A.2.b,1.A.2,NA
Austria,1971,EMEP_21,so2,1.A.2.b,1.A.2,NA
Austria,1971,EMEP_21,pm25,1.A.2.b,1.A.2,NA
Austria,1971,EMEP_21,nox,1.A.2.c,1.A.2,NA
Austria,1971,EMEP_21,so2,1.A.2.c,1.A.2,NA
Austria,1971,EMEP_21,pm25,1.A.2.c,1.A.2,NA
Austria,1971,EMEP_21,nox,1.A.2.d,1.A.2,NA
Austria,1971,EMEP_21,so2,1.A.2.d,1.A.2,NA
